ChipotleTweets,2023-03-29 01:41:54,@fuckasuit Will you please contact us at https://t.co/ltrG42w7NA so we can follow up with you directly? -Alex
ChipotleTweets,2023-03-29 01:35:29,@duffy120 Please share more with us so we can be in touch with you:https://t.co/ltrG42w7NA -Alex
ChipotleTweets,2023-03-29 01:00:47,@Gamesfrombama Can you DM us more details? -Alex https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-29 00:59:40,@courtnahhhh Miss you too -Alex
ChipotleTweets,2023-03-29 00:53:28,@ic3angel_ Oh no. Can you DM us the location you ordered from so we can help? -Scott https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-29 00:50:06,@tambo38104 Can you please DM us more info about what was wrong with your order? -Scott https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 23:44:45,@Jordanceldridge Please share more with us so we can be in touch with you:https://t.co/ltrG42w7NA -Alex
ChipotleTweets,2023-03-28 23:44:23,@Joslyn_25 Oh no. Can you DM us more details so we can help? -Alex https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 23:41:06,@tori_iscool I agree. Can you DM us the location you ordered from so we can help? -Scott https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 23:31:29,@Lauren_Conforti This is factual -Scott
ChipotleTweets,2023-03-28 23:10:16,@CurlyMcNulty In his waffles too smh 😩 -Scott
ChipotleTweets,2023-03-28 23:05:33,@7thavedonda That's a bummer. Can you DM us the location you ordered from so we can help? -Scott https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 23:02:58,@ChrisseyMarie We'd like to learn more about this. Mind reaching out to us at https://t.co/X4lhMBXMRY? -Scott -Scott
ChipotleTweets,2023-03-28 22:46:35,@Dspohn388 See you soon! -Alex
ChipotleTweets,2023-03-28 22:31:33,@ashAbeez Keep wishing -Alex
ChipotleTweets,2023-03-28 22:31:03,@NeilRDavis Glad you liked it -Alex
ChipotleTweets,2023-03-28 22:29:11,@isuwitmeorwut It really is -Alex
ChipotleTweets,2023-03-28 22:26:26,@VI17AIN I guess so -Alex
ChipotleTweets,2023-03-28 22:25:15,@bhuncho23 So many beggars today -Alex
ChipotleTweets,2023-03-28 22:25:08,@Mahi_Mati We like Chicken Al Pastor rn though -Alex
ChipotleTweets,2023-03-28 22:24:53,@davebrock24 Right?! -Alex
ChipotleTweets,2023-03-28 22:24:29,@zonaandrade Can you Dm us more details? -Alex https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 22:23:34,@virgilio_ryan Me too -Alex
ChipotleTweets,2023-03-28 22:22:17,@d_ramblas Too late -Alex
ChipotleTweets,2023-03-28 22:22:02,@Filthy_Oar Will you please contact us at https://t.co/ltrG42w7NA so we can follow up with you directly? -Alex
ChipotleTweets,2023-03-28 22:21:21,@d_ramblas You didn't even say please -Alex
ChipotleTweets,2023-03-28 22:20:54,@JustinG27322541 Come over soon -Alex
ChipotleTweets,2023-03-28 22:20:34,@VI17AIN ....🙄 -Alex
ChipotleTweets,2023-03-28 22:20:27,@babysamzie I don't want to -Alex
ChipotleTweets,2023-03-28 22:20:19,@JP_1880 That's what they all say -Alex
ChipotleTweets,2023-03-28 22:20:12,@zib_enthusiast Pls stand up -Alex
ChipotleTweets,2023-03-28 22:18:53,@orochifgc I respect that -Alex
ChipotleTweets,2023-03-28 22:18:45,@LordPrinceJ Nice try -Alex
ChipotleTweets,2023-03-28 22:18:17,@cheeky_sillyguy That's a spice... -Alex
ChipotleTweets,2023-03-28 22:17:53,@KakashiToy LOL good luck with that -Alex
ChipotleTweets,2023-03-28 22:17:37,@gingerxxem Yes you do -Alex
ChipotleTweets,2023-03-28 22:17:25,@mak0rs I don't like begging -Alex
ChipotleTweets,2023-03-28 22:16:59,@HuskyJet Sorry about that. Can you DM us more details? -Alex https://t.co/BptDR5xzEN
ChipotleTweets,2023-03-28 22:14:30,@Nuris08557246 I'm not a free code bank -Alex
ChipotleTweets,2023-03-28 22:14:12,@AIex335i Not today -Alex
ChipotleTweets,2023-03-28 22:14:00,@jkline120 Agreed -Alex
ChipotleTweets,2023-03-28 22:13:08,@juneau_kirk You love to see it -Alex
ChipotleTweets,2023-03-28 22:13:01,@youngxnelson No thx -Alex
ChipotleTweets,2023-03-28 22:12:23,@neverthinkng Amazing -Alex
ChipotleTweets,2023-03-28 22:11:56,@kridentagg ❤ -Alex
ChipotleTweets,2023-03-28 22:11:45,@TM429318 This is an important distinction -Alex
ChipotleTweets,2023-03-28 22:11:32,@boduppy I would if I could -Alex
ChipotleTweets,2023-03-28 22:09:30,@lyrical_VG Awesome -Alex
ChipotleTweets,2023-03-28 22:09:19,@kridentagg I will pass that idea along -Alex
